Welk document ligt nog thuis?|Which document is still at home?|کدام مدرک هنوز در خانه است؟
De groep wil een andere taal gebruiken.|The group wants to use another language.|گروه می‌خواهد زبان دیگری به کار ببرد.
Hallo Lina, bij de kleine tekening passen niet alle woorden voor lichaamsdelen. Maak je een grotere versie met lijnen naar de juiste plaatsen? Dan kan je oefenpartner alle woorden duidelijk bij de afbeelding plaatsen.|Hello Lina, not all the body-part words fit beside the small drawing. Could you make a larger version with lines to the right places? Then your partner can clearly connect every word to the picture.|سلام لینا، همه واژه‌های اندام کنار تصویر کوچک جا نمی‌شوند. نسخه بزرگ‌تری با خط به محل درست می‌کشی؟ آن وقت همراهت می‌تواند هر واژه را روشن به تصویر وصل کند.
Ik breng een grotere afbeelding mee. We kijken eerst of iedereen de details kan zien. Daarna wijzen we de lichaamsdelen aan en vergelijken we onze antwoorden.|I will bring a larger picture. We will first check that everyone can see the details. Then we will point to the body parts and compare answers.|تصویر بزرگ‌تری می‌آورم. اول بررسی می‌کنیم همه جزئیات را ببینند. بعد اندام‌ها را نشان می‌دهیم و پاسخ‌ها را مقایسه می‌کنیم.

Wat vergelijkt de groep bij verschillende beroepen?|What does the group compare across different jobs?|گروه درباره شغل‌های مختلف چه چیزی را مقایسه می‌کند؟
De werktijden.|Working hours.|ساعت‌های کار.
De reisbestemmingen.|Travel destinations.|مقصدهای سفر.
Dag allemaal, voor ons gesprek over beroepen verzamelen we verschillende werktijden. Niet elke job begint om negen uur. Vraag je gesprekspartner wanneer de werkdag begint en eindigt. Vergelijk daarna de tijden zonder te raden op basis van de jobtitel.|Hello everyone, for our discussion of jobs we are collecting different working hours. Not every job starts at nine. Ask your partner when the working day starts and ends. Then compare the times without guessing from the job title.|سلام به همه، برای گفت‌وگوی شغل‌ها ساعت‌های کار مختلف جمع می‌کنیم. هر شغلی ساعت نه شروع نمی‌شود. از همراهت زمان شروع و پایان را بپرس. بعد بدون حدس از عنوان شغل، زمان‌ها را مقایسه کن.
Ik vraag naar het begin en het einde van de werkdag. Daarna kan ik vergelijken wie vroeger begint. Alleen de naam van het beroep geeft niet genoeg informatie.|I will ask when the working day starts and ends. Then I can compare who starts earlier. The job name alone is not enough information.|زمان شروع و پایان روز کاری را می‌پرسم. بعد می‌توانم مقایسه کنم چه کسی زودتر شروع می‌کند. نام شغل به‌تنهایی اطلاعات کافی نمی‌دهد.

Wat wil de groep benutten bij de taakverdeling?|What does the group want to use when dividing tasks?|گروه در تقسیم کار می‌خواهد از چه استفاده کند؟
De verschillende vaardigheden.|Different skills.|مهارت‌های متفاوت.
Alleen de leeftijd van de deelnemers.|Only participants' ages.|فقط سن شرکت‌کنندگان.
Hoi, voor de buurtactiviteit zoeken we niet alleen mensen die goed kunnen spreken. Iemand kan tekenen en iemand anders kan materiaal herstellen. Vertel wat jij graag doet, zodat we taken verdelen volgens onze vaardigheden.|Hi, for the neighbourhood activity we are not only looking for good speakers. Someone can draw and someone else can repair equipment. Tell us what you enjoy so we can divide tasks according to our skills.|سلام، برای فعالیت محله فقط دنبال سخنران خوب نیستیم. کسی نقاشی می‌کند و دیگری وسایل را تعمیر می‌کند. بگو چه کاری دوست داری تا کارها را بر اساس مهارت‌ها تقسیم کنیم.
Ik teken graag en kan de wegwijzers maken. Voor herstellingen vraag ik liever hulp aan iemand met ervaring. Zo gebruikt iedereen een vaardigheid die bij de taak past.|I enjoy drawing and can make the signs. For repairs I would rather ask someone experienced. Everyone can then use a skill suited to the task.|نقاشی دوست دارم و می‌توانم تابلوها را درست کنم. برای تعمیر از فرد باتجربه کمک می‌خواهم. این‌طوری هرکس مهارت مناسب کار را به کار می‌برد.

Wat doet Amir voordat hij onbekend materiaal gebruikt?|What does Amir do before using unfamiliar equipment?|امیر پیش از استفاده از وسایل ناآشنا چه می‌کند؟
Hij vraagt uitleg.|He asks for instructions.|توضیح می‌خواهد.
Hij probeert alles alleen uit.|He tries everything alone.|همه‌چیز را تنها امتحان می‌کند.
Dag collega, Amir hier. Ik ken deze veiligheidsgordel nog niet. Voor ik iets gebruik, wil ik de instructies begrijpen. Kunt u uitleg geven en aangeven welke taken ik voorlopig niet alleen mag doen?|Hello colleague, Amir here. I do not know this safety belt yet. Before using anything I want to understand the instructions. Could you explain and indicate which tasks I may not do alone for now?|سلام همکار، امیر هستم. این کمربند ایمنی را هنوز نمی‌شناسم. پیش از استفاده می‌خواهم دستورها را بفهمم. توضیح می‌دهید و می‌گویید فعلاً کدام کارها را نباید تنها انجام دهم؟
Ik vraag de begeleider om uitleg te geven. Gebruik het materiaal nog niet tot je de instructies begrijpt. We bekijken ook samen welke taken begeleiding nodig hebben.|I will ask the supervisor to explain. Do not use the equipment until you understand the instructions. We will also check which tasks need supervision.|از سرپرست می‌خواهم توضیح بدهد. تا دستورها را نفهمیدی از وسیله استفاده نکن. با هم بررسی می‌کنیم کدام کارها به همراهی نیاز دارند.

Wat moeten deelnemers tijdens de veiligheidsronde doen?|What must participants do during the safety tour?|شرکت‌کنندگان در بازدید ایمنی باید چه کنند؟
Plaatsen aanwijzen en instructies terugvinden.|Point to locations and find instructions.|محل‌ها را نشان دهند و راهنما را پیدا کنند.
De brandblusser zelf uitproberen.|Try using the extinguisher themselves.|خودشان کپسول را امتحان کنند.
Goedemorgen ploeg. Tijdens deze oefening gebruiken we geen brandblusser of noodknop. We wijzen alleen aan waar ze zijn en waar de lokale instructies staan. Meld het als je een aanduiding niet begrijpt.|Good morning team. During this exercise we do not use the extinguisher or emergency stop. We only point out where they are and where the local instructions are. Say if you do not understand a sign.|صبح بخیر گروه. در این تمرین از کپسول یا دکمه اضطراری استفاده نمی‌کنیم. فقط محل آن‌ها و دستورهای محلی را نشان می‌دهیم. اگر علامتی را نمی‌فهمید، بگویید.
Ik wijs de plaatsen aan zonder iets te bedienen. Bij een onduidelijke aanduiding vraag ik uitleg. Kunt u daarna controleren of ik de juiste instructie gevonden heb?|I will point to the locations without operating anything. I will ask about unclear signs. Could you then check that I found the right instructions?|محل‌ها را بدون استفاده از وسیله نشان می‌دهم. درباره علامت نامفهوم توضیح می‌خواهم. بعد بررسی می‌کنید راهنمای درست را پیدا کرده باشم؟

Welke hulp vraagt Rana aan de leerkracht?|What help does Rana ask the teacher for?|رانا چه کمکی از معلم می‌خواهد؟
Eén concreet voorbeeld.|One concrete example.|یک مثال مشخص.
Een volledige vertaling van het woordenboek.|A full translation of the dictionary.|ترجمه کامل واژه‌نامه.
Dag mevrouw, Rana hier. Ik begrijp het schema op het werkblad nog niet. Het woordenboek helpt niet. Kunt u één concreet voorbeeld tonen? Daarna wil ik zelf een tweede voorbeeld proberen om te zien of ik het begrepen heb.|Hello teacher, Rana here. I still do not understand the worksheet diagram. The dictionary is not helping. Could you show one concrete example? Then I want to try a second myself to check my understanding.|سلام معلم، رانا هستم. نمودار برگه تمرین را هنوز نمی‌فهمم. واژه‌نامه کمک نمی‌کند. یک مثال مشخص نشان می‌دهید؟ بعد می‌خواهم دومی را خودم امتحان کنم تا فهمم را بررسی کنم.
We bekijken samen één concreet voorbeeld. Daarna maak jij een tweede en leg je uit hoe het bij het schema past. Zo zie ik welk deel nog moeilijk is.|We will look at one concrete example together. Then you will make a second and explain how it fits the diagram. I can then see what is still difficult.|یک مثال مشخص را با هم بررسی می‌کنیم. بعد دومی را خودت می‌سازی و توضیح می‌دهی چطور به نمودار مربوط است. این‌طور می‌فهمم چه بخشی هنوز سخت است.

Hoeveel belangrijke stappen kiest Pieter eerst?|How many main steps does Pieter choose first?|پیتر اول چند مرحله اصلی انتخاب می‌کند؟
Drie.|Three.|سه.
Tien.|Ten.|ده.
Hoi Pieter, kies eerst de drie belangrijkste stappen uit de presentatie. Schrijf niet alles over. Probeer daarna de oefening en beluister alleen het deel dat onduidelijk blijft. Laat weten bij welke stap je vastloopt.|Hi Pieter, choose the three main steps from the presentation first. Do not copy everything. Then try the exercise and replay only the unclear part. Tell me which step causes difficulty.|سلام پیتر، اول سه مرحله اصلی ارائه را انتخاب کن. همه‌چیز را رونویسی نکن. بعد تمرین را انجام بده و فقط بخش نامفهوم را دوباره بشنو. بگو در کدام مرحله گیر می‌کنی.
Ik noteer de drie belangrijkste stappen en probeer de oefening. Als één stap moeilijk blijft, luister ik dat deel opnieuw. Daarna kan ik een gerichte vraag stellen.|I will note the three main steps and try the exercise. If one step remains difficult, I will replay that part. Then I can ask a focused question.|سه مرحله اصلی را یادداشت می‌کنم و تمرین را امتحان می‌کنم. اگر مرحله‌ای سخت ماند، همان قسمت را دوباره می‌شنوم و سؤال دقیق می‌پرسم.

Wat weet de groep na de eerste vertaling nog niet?|What does the group still not know after the first translation?|گروه بعد از ترجمه اول هنوز چه نمی‌داند؟
Welke actie de afzender vraagt.|What action the sender wants.|فرستنده چه کاری می‌خواهد.
In welke taal de brief geschreven is.|Which language the letter is written in.|نامه به چه زبانی است.
Hallo leesgroep, we hebben de brief vertaald, maar weten nog niet wat de afzender van ons vraagt. Zoek samen de zin met de gevraagde actie. Bespreek daarna in eigen woorden wat we moeten doen.|Hello reading group, we translated the letter but still do not know what the sender wants us to do. Find the sentence with the requested action together. Then discuss in your own words what we need to do.|سلام گروه مطالعه، نامه را ترجمه کردیم، اما هنوز نمی‌دانیم فرستنده چه کاری از ما می‌خواهد. جمله مربوط به اقدام را با هم پیدا کنید. بعد با زبان خودتان بگویید چه باید کرد.
Laten we de bedoeling eerst bespreken. Ik zoek de zin waarin de afzender iets vraagt en vat die kort samen. Een vertaling alleen maakt de gevraagde actie niet altijd duidelijk.|Let us discuss the purpose first. I will find the sentence where the sender asks for something and summarise it. A translation alone does not always clarify the action.|اول هدف را بررسی کنیم. جمله‌ای را که فرستنده درخواست می‌کند پیدا و کوتاه خلاصه می‌کنم. ترجمه به‌تنهایی همیشه اقدام خواسته‌شده را روشن نمی‌کند.

Waarom herschrijft Mina de korte versie?|Why does Mina rewrite the short version?|چرا مینا نسخه کوتاه را بازنویسی می‌کند؟
Die klinkt te direct.|It sounds too direct.|خیلی مستقیم به گوش می‌رسد.
Die bevat een verkeerd telefoonnummer.|It has the wrong phone number.|شماره تلفن اشتباه دارد.
Hoi, Mina hier. Mijn korte verzoek klinkt hard wanneer ik het hoor. Wil je beide versies voorlezen? Ik wil een beleefde inleiding toevoegen, zonder mijn vraag onduidelijk te maken. Zeg welke versie vriendelijker klinkt.|Hi, Mina here. My short request sounds harsh when I hear it. Could you read both versions aloud? I want to add a polite introduction without making the question unclear. Say which version sounds friendlier.|سلام، مینا هستم. درخواست کوتاهم وقتی می‌شنوم تند است. هر دو نسخه را بلند می‌خوانی؟ می‌خواهم مقدمه مؤدبانه اضافه کنم بدون مبهم شدن سؤال. بگو کدام دوستانه‌تر است.
Ik lees beide versies rustig voor. Daarna vergelijken we de toon. Een korte beleefde inleiding kan helpen, zolang de ontvanger nog duidelijk weet wat je vraagt.|I will read both versions calmly. Then we will compare the tone. A brief polite introduction can help as long as the recipient knows what you are asking.|هر دو نسخه را آرام بلند می‌خوانم و لحن را مقایسه می‌کنیم. مقدمه کوتاه مؤدبانه کمک می‌کند، اگر گیرنده هنوز درخواست را روشن بفهمد.

Welke informatie is fout in de uitnodigingsbrief?|What information is wrong in the invitation letter?|کدام اطلاعات دعوت‌نامه اشتباه است؟
De zaal.|The hall.|سالن.
De naam van Joris.|Joris's name.|نام یوریس.
Dag allemaal, Joris hier. De uitnodigingsbrief noemt helaas de verkeerde zaal. Ik stuur één correctiebericht met de juiste plaats. Gebruik daarna alleen die nieuwe informatie. Willen jullie ook de mensen verwittigen die de brief al gelezen hebben?|Hello everyone, Joris here. The invitation letter unfortunately names the wrong hall. I will send one correction with the right place. Use only the new information afterwards. Could you also notify those who already read the letter?|سلام به همه، یوریس هستم. متأسفانه دعوت‌نامه سالن اشتباه را گفته. پیام اصلاحی با مکان درست می‌فرستم؛ بعد فقط اطلاعات تازه را استفاده کنید. به کسانی که نامه را خوانده‌اند هم خبر می‌دهید؟
Ik geef de correctie door en zeg dat de oude zaal niet meer klopt. Stuur je de juiste plaats nog eens duidelijk? Dan voorkom ik dat ik zelf verkeerde informatie verspreid.|I will pass on the correction and say the old hall is wrong. Please send the correct location clearly once more so I do not spread wrong information myself.|اصلاحیه را منتقل می‌کنم و می‌گویم سالن قبلی درست نیست. مکان درست را یک بار روشن می‌فرستی تا خودم اطلاعات اشتباه پخش نکنم؟

Waarom moet Sara het bestand opnieuw versturen?|Why must Sara resend the file?|چرا سارا باید فایل را دوباره بفرستد؟
De eerste bijlage is leeg.|The first attachment is empty.|پیوست اول خالی است.
Het team wil een andere taal.|The team wants another language.|گروه زبان دیگری می‌خواهد.
Hallo team, Sara hier. Jullie hadden gelijk: mijn eerste bijlage was leeg. Ik heb nu de juiste versie geopend en gecontroleerd. Die stuur ik opnieuw. Kunnen jullie even bevestigen dat het verslag nu leesbaar is?|Hello team, Sara here. You were right: my first attachment was empty. I have now opened and checked the correct version and am resending it. Could you confirm the report is readable now?|سلام گروه، سارا هستم. درست گفتید: پیوست اول خالی بود. حالا نسخه درست را باز و بررسی کردم و دوباره می‌فرستم. تأیید می‌کنید گزارش این بار خواندنی است؟
Bedankt voor de nieuwe versie. Ik open de bijlage en controleer of de pagina's leesbaar zijn. Daarna bevestig ik of het verslag volledig is aangekomen.|Thanks for the new version. I will open the attachment and check whether the pages are readable. Then I will confirm whether the full report arrived.|ممنون برای نسخه تازه. پیوست را باز می‌کنم و خوانا بودن صفحه‌ها را می‌سنجم. بعد خبر می‌دهم گزارش کامل رسیده یا نه.

Wanneer houdt de groep uiteindelijk online overleg?|When does the group finally meet online?|گروه سرانجام چه روزی آنلاین جلسه دارد؟
Woensdag.|Wednesday.|چهارشنبه.
Dinsdag.|Tuesday.|سه‌شنبه.
Dag team, dinsdag lukt niet voor iedereen. We houden daarom woensdag een kort online overleg. De deadline blijft vrijdag. Bevestig tijdens het overleg welke taak jij vóór vrijdag afwerkt, zodat onze planning duidelijk is.|Hello team, Tuesday does not suit everyone. We will therefore hold a short online meeting on Wednesday. The deadline remains Friday. Confirm during the meeting which task you will finish before Friday so our plan is clear.|سلام گروه، سه‌شنبه برای همه ممکن نیست؛ چهارشنبه جلسه آنلاین کوتاه داریم. مهلت همچنان جمعه است. در جلسه تأیید کنید کدام کار را پیش از جمعه تمام می‌کنید تا برنامه روشن باشد.
Woensdag online past voor mij. Ik kijk vooraf welke taak ik tegen vrijdag kan afwerken en bevestig die tijdens het overleg. De gewijzigde vergaderdag verandert de deadline dus niet.|Wednesday online suits me. I will check which task I can finish by Friday and confirm it in the meeting. Changing the meeting day therefore does not change the deadline.|جلسه آنلاین چهارشنبه برایم مناسب است. پیشاپیش بررسی می‌کنم چه کاری تا جمعه انجام می‌دهم و در جلسه تأیید می‌کنم. پس روز جلسه عوض شده، نه مهلت.

Wat kiest de groep wanneer de zaal niet vrij is?|What does the group choose when the room is unavailable?|وقتی سالن آزاد نیست، گروه چه انتخاب می‌کند؟
Een wandeling met kleine gespreksgroepjes.|A walk in small conversation groups.|پیاده‌روی با گروه‌های کوچک گفت‌وگو.
Een nieuwe bijeenkomst in dezelfde gesloten zaal.|A new meeting in the same closed room.|جلسه تازه در همان سالن بسته.
Beste deelnemers, de zaal is niet beschikbaar. We maken in plaats daarvan een wandeling in kleine gespreksgroepjes. Wacht dus niet aan de gesloten zaal. Lees onze nieuwe instructies en laat weten of de verzamelplaats duidelijk is.|Dear participants, the room is unavailable. Instead we will walk in small conversation groups. Do not wait at the closed room. Read the new instructions and tell us whether the meeting place is clear.|شرکت‌کنندگان عزیز، سالن در دسترس نیست. به‌جایش در گروه‌های کوچک گفت‌وگو پیاده‌روی می‌کنیم. جلوی سالن بسته منتظر نمانید. راهنمای تازه را بخوانید و بگویید محل جمع شدن روشن است یا نه.
Ik heb de wijziging gezien en wacht niet bij de zaal. De wandeling lijkt me goed. Kunt u de verzamelplaats nog even herhalen voordat ik vertrek?|I saw the change and will not wait at the hall. The walk sounds good. Could you repeat the meeting place before I leave?|تغییر را دیدم و کنار سالن منتظر نمی‌مانم. پیاده‌روی خوب است. پیش از حرکت، محل جمع شدن را دوباره می‌گویید؟

Wat moeten reizigers doen voordat ze instappen?|What must passengers do before boarding?|مسافران پیش از سوار شدن چه باید کنند؟
Andere reizigers laten uitstappen.|Let other passengers get off.|اجازه دهند دیگران پیاده شوند.
Meteen voor de deur gaan staan.|Stand immediately in front of the door.|فوراً جلوی در بایستند.
Beste reizigers, laat eerst iedereen uitstappen. Er staat nog een auto waar de bus moet stoppen. De bestuurder verplaatst die. Wacht tot de doorgang vrij is en stap dan rustig in.|Dear passengers, let everyone get off first. A car is still where the bus needs to stop. Its driver is moving it. Wait until the passage is clear, then board calmly.|مسافران عزیز، اول بگذارید همه پیاده شوند. هنوز خودرویی در محل توقف اتوبوس است و راننده جابه‌جایش می‌کند. صبر کنید مسیر باز شود، بعد آرام سوار شوید.
We wachten tot de auto weg is en de andere reizigers uitgestapt zijn. Daarna stappen we rustig in. Zo blijft de deur bereikbaar voor iedereen.|We will wait until the car is gone and the other passengers have got off. Then we will board calmly so the door stays accessible for everyone.|صبر می‌کنیم خودرو برود و مسافران دیگر پیاده شوند. بعد آرام سوار می‌شویم تا در برای همه قابل‌دسترسی بماند.

Wanneer kiest de begeleider de nieuwe route?|When does the leader choose the new route?|راهنما چه زمانی مسیر تازه را انتخاب می‌کند؟
Wanneer de groep compleet is.|When the whole group is together.|وقتی همه گروه جمع شده‌اند.
Terwijl enkele deelnemers nog achterblijven.|While some participants are still behind.|وقتی چند نفر هنوز عقب مانده‌اند.
Hallo wandelgroep, het pad is afgesloten. We keren om en verzamelen aan de overkant. Ik kies pas een nieuwe route wanneer iedereen er is. Laat het weten als je iemand mist; loop nog niet alleen verder.|Hello walkers, the path is closed. We will turn back and gather on the other side. I will choose a new route only when everyone is here. Say if someone is missing; do not continue alone yet.|سلام گروه پیاده‌روی، راه بسته است. برمی‌گردیم و آن طرف جمع می‌شویم. فقط وقتی همه باشند مسیر تازه انتخاب می‌کنم. اگر کسی نیست بگویید؛ هنوز تنها جلو نروید.
Ik wacht op de verzamelplaats en kijk of mijn wandelpartner er is. We gaan pas verder wanneer de groep compleet is en de nieuwe route uitgelegd is.|I will wait at the meeting point and check that my walking partner is there. We will continue only when everyone is together and the new route is explained.|در محل جمع شدن صبر می‌کنم و می‌بینم همراهم هست یا نه. وقتی گروه کامل شد و مسیر تازه توضیح داده شد ادامه می‌دهیم.

Waar gaat de collega mensen informeren?|Where does the colleague go to inform people?|همکار برای اطلاع دادن به کجا می‌رود؟
Naar de oude ingang.|To the old entrance.|به ورودی قبلی.
Naar het station buiten de buurt.|To the station outside the neighbourhood.|به ایستگاه بیرون محله.
Dag collega, we zijn vergeten de nieuwe ingang door te geven. Ik ga nu aan de oude ingang staan om mensen te helpen. Kun jij iedereen een bericht sturen met de wijziging? Zo mist niemand de activiteit.|Hello colleague, we forgot to announce the new entrance. I will stand at the old entrance to help people. Can you message everyone about the change? That way nobody misses the activity.|سلام همکار، فراموش کردیم ورودی تازه را اطلاع بدهیم. من جلوی ورودی قدیم می‌ایستم تا کمک کنم. تو تغییر را به همه پیام می‌دهی؟ این‌طور کسی فعالیت را از دست نمی‌دهد.
Ik stuur meteen een bericht met de nieuwe ingang. Goed dat jij bij de oude ingang helpt. Bij een volgende wijziging spreken we vooraf af wie iedereen verwittigt.|I will send a message with the new entrance immediately. It is good that you are helping at the old one. Next time we will agree beforehand who informs everyone.|فوراً ورودی تازه را پیام می‌کنم. خوب است تو کنار ورودی قدیم کمک می‌کنی. دفعه بعد پیشاپیش مشخص می‌کنیم چه کسی همه را خبر کند.

Hoe laat zal de medewerker Noor terugbellen?|At what time will the staff member call Noor back?|کارمند چه ساعتی دوباره به نور زنگ می‌زند؟
Om drie uur.|At three o'clock.|ساعت سه.
Om vijf uur.|At five o'clock.|ساعت پنج.
Goedendag Noor, ik moet eerst uw vraag opzoeken. Ik bel u om drie uur terug, zoals afgesproken. U hoeft zelf niet opnieuw te bellen. Laat even weten of u dan bereikbaar bent.|Hello Noor, I need to look up your question first. I will call you back at three as agreed. You do not need to call again yourself. Please let me know whether you will be available.|سلام نور، اول باید پاسخ سؤالتان را پیدا کنم. طبق قرار ساعت سه تماس می‌گیرم. لازم نیست خودتان دوباره زنگ بزنید. خبر بدهید آن وقت در دسترس هستید یا نه.
Om drie uur ben ik bereikbaar. Ik zet een herinnering in mijn agenda en houd mijn telefoon bij de hand. Bedankt dat u de informatie eerst opzoekt.|I will be available at three. I will set a calendar reminder and keep my phone nearby. Thank you for looking up the information first.|ساعت سه در دسترسم. یادآوری در تقویم می‌گذارم و تلفنم را نزدیک نگه می‌دارم. ممنون که ابتدا اطلاعات را پیدا می‌کنید.

Waarom was het bericht van Amina's vriendin zo kort?|Why was Amina's friend's message so brief?|چرا پیام دوست آمینه کوتاه بود؟
Ze had haast.|She was in a hurry.|عجله داشت.
Ze was boos op Amina.|She was angry with Amina.|از آمینه عصبانی بود.
Hoi Amina, sorry voor mijn korte bericht. Ik had haast en was helemaal niet boos op jou. Fijn dat je naar mijn bedoeling vroeg. Zullen we straks rustig verder praten wanneer ik meer tijd heb?|Hi Amina, sorry for my short message. I was in a hurry and not angry with you at all. Thank you for asking what I meant. Shall we talk calmly later when I have more time?|سلام آمینه، ببخش که پیامم کوتاه بود. عجله داشتم و اصلاً از تو عصبانی نبودم. خوب شد منظورت را پرسیدی. بعداً که وقت دارم آرام صحبت کنیم؟
Bedankt voor je uitleg. Ik had de toon verkeerd begrepen. We praten later rustig verder. Volgende keer vraag ik eerst wat je bedoelt in plaats van boosheid te veronderstellen.|Thanks for explaining. I misunderstood the tone. We can talk calmly later. Next time I will ask what you mean instead of assuming anger.|ممنون که توضیح دادی. لحن را اشتباه فهمیدم. بعداً آرام صحبت می‌کنیم. دفعه بعد به‌جای فرض عصبانیت، اول منظورت را می‌پرسم.

Over welk onderwerp begint Brams eerste gesprek?|What topic starts Bram's first conversation?|گفت‌وگوی اول برام درباره چیست؟
Fietsen.|Cycling.|دوچرخه‌سواری.
Werkcontracten.|Employment contracts.|قرارداد کار.
Dag Bram, je hoeft tijdens de eerste taalactiviteit niet lang te spreken. Ik fiets ook graag. Zullen we tien minuten over fietsen praten? Je mag altijd vragen om een woord te herhalen.|Hello Bram, you do not need to speak for long at your first language activity. I enjoy cycling too. Shall we talk about cycling for ten minutes? You can always ask me to repeat a word.|سلام برام، در فعالیت زبانی اول لازم نیست زیاد حرف بزنی. من هم دوچرخه‌سواری دوست دارم. ده دقیقه درباره آن صحبت کنیم؟ هر وقت خواستی بگو واژه‌ای را تکرار کنم.
Dat doe ik graag. Een kort gesprek over fietsen lijkt haalbaar. Als ik iets niet begrijp, vraag ik om herhaling. Daarna kunnen we kijken hoe het ging.|I would like that. A short cycling conversation sounds manageable. If I do not understand something, I will ask for repetition. Afterwards we can see how it went.|دوست دارم. گفت‌وگوی کوتاه درباره دوچرخه شدنی به نظر می‌رسد. اگر نفهمیدم، تکرار می‌خواهم. بعد بررسی می‌کنیم چطور بود.

Hoe maakt de organisator het plan duidelijker?|How does the organiser make the plan clearer?|برگزارکننده چطور برنامه را روشن‌تر می‌کند؟
Met drie stappen en een duidelijk doel.|With three steps and a clear goal.|با سه مرحله و هدف روشن.
Met extra ingewikkelde uitleg.|With more complicated explanation.|با توضیح پیچیده‌تر.
Beste groep, de uitleg van mijn voorstel was te ingewikkeld. Ik verdeel het plan nu in drie stappen met een duidelijk doel. Bekijk wat deze week haalbaar is en zeg welke stap nog uitleg nodig heeft.|Dear group, my proposal was explained too complicatedly. I am dividing the plan into three steps with a clear goal. Check what is feasible this week and say which step still needs explanation.|گروه عزیز، توضیح پیشنهادم پیچیده بود. حالا برنامه را به سه مرحله با هدف روشن تقسیم می‌کنم. ببینید این هفته چه شدنی است و کدام مرحله توضیح می‌خواهد.
Drie stappen maken het voorstel overzichtelijker. Ik bekijk wat ik deze week kan doen. Als een stap onduidelijk blijft, vraag ik een concreet voorbeeld voordat we beginnen.|Three steps make the proposal easier to follow. I will check what I can do this week. If a step is unclear, I will ask for an example before we start.|سه مرحله پیشنهاد را منظم‌تر می‌کند. بررسی می‌کنم این هفته چه می‌توانم انجام دهم. اگر مرحله‌ای نامفهوم بود، پیش از شروع مثال می‌خواهم.

Wat kiest de groep in plaats van de onveilige route?|What does the group choose instead of the unsafe route?|گروه به‌جای مسیر نامناسب چه انتخاب می‌کند؟
Een kortere tocht met een gezamenlijke pauze.|A shorter trip with a shared break.|مسیر کوتاه‌تر با استراحت مشترک.
Dezelfde lange route zonder pauze.|The same long route without a break.|همان مسیر بلند بدون استراحت.
Dag wandelaars, de goedkope uitstap heeft een route die niet voor iedereen veilig is. We kiezen een kortere tocht en houden samen pauze. Willen jullie zeggen of die afstand haalbaar is? Alleen de prijs beslist dus niet.|Hello walkers, the inexpensive outing has a route that is not safe for everyone. We are choosing a shorter trip with a shared break. Please say whether the distance is manageable. Price alone does not decide.|سلام دوستان پیاده‌روی، مسیر گردش ارزان برای همه ایمن نیست. مسیر کوتاه‌تر با استراحت مشترک انتخاب می‌کنیم. بگویید این فاصله برایتان شدنی است؛ فقط قیمت تعیین‌کننده نیست.
De kortere tocht past beter voor mij. Met een gezamenlijke pauze kan iedereen rusten. Kunt u de afstand doorgeven, zodat ik goed kan beoordelen of ik mee kan?|The shorter route suits me better. A shared break lets everyone rest. Could you send the distance so I can judge whether I can join?|مسیر کوتاه‌تر برایم بهتر است. با استراحت مشترک همه استراحت می‌کنند. فاصله را می‌گویید تا بفهمم می‌توانم بیایم یا نه؟

Wat doet de organisator voordat de gasten vertrekken?|What does the organiser do before guests leave?|برگزارکننده پیش از حرکت مهمان‌ها چه می‌کند؟
De binnenlocatie bevestigen.|Confirm the indoor venue.|محل داخل ساختمان را تأیید می‌کند.
Alle routebeschrijvingen verwijderen.|Delete all directions.|همه راهنماهای مسیر را پاک می‌کند.
Beste gasten, voor het buitenfeest wordt onweer voorspeld. We hebben daarom de binnenlocatie bevestigd. Ik stuur iedereen dezelfde routebeschrijving voordat jullie vertrekken. Controleer die nieuwe plaats en gebruik niet de oude uitnodiging.|Dear guests, thunderstorms are forecast for the outdoor party. We have therefore confirmed the indoor venue. I will send everyone the same directions before you leave. Check the new place and do not use the old invitation.|مهمانان عزیز، برای جشن بیرونی رعدوبرق پیش‌بینی شده. محل داخل را تأیید کردیم. پیش از حرکت، راهنمای یکسان برای همه می‌فرستم. مکان تازه را بررسی کنید و دعوت قبلی را ملاک نگیرید.
Bedankt voor het reserveplan. Ik controleer de nieuwe routebeschrijving voordat ik vertrek en geef de binnenlocatie ook aan mijn reisgenoot door. Zo rijden we meteen naar de juiste plaats.|Thanks for the backup plan. I will check the new directions before leaving and tell my travel companion the indoor location so we go straight to the right place.|ممنون برای برنامه جایگزین. پیش از حرکت مسیر تازه را بررسی می‌کنم و محل داخلی را به همراهم هم می‌گویم تا مستقیم به جای درست برویم.

Wanneer beslist de club over elke winterwandeling?|When does the club decide about each winter walk?|باشگاه چه زمانی درباره هر پیاده‌روی زمستانی تصمیم می‌گیرد؟
Op de avond ervoor.|The evening before.|شب قبل.
Pas na het vertrek.|Only after departure.|فقط بعد از حرکت.
